GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg.core,NSG_SpatialReferenceSystemsTests,125,713,36,60,27,154,30,34,0,16
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg,TestNGController,104,127,7,9,26,27,11,5,4,4
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg.metadata,MetadataTests,71,163,10,10,21,48,8,13,2,9
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg.tiles,NSG_TileTests,196,1075,37,78,26,214,35,37,0,13
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg.util,CrsList,0,87,0,12,0,19,0,11,0,5
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg.util,CrsList.CrsListing,0,18,0,0,0,6,0,1,0,1
NSG GeoPackage 1.1 Conformance Test Suite,org.opengis.cite.gpkg12.nsg.util,CrsListingUtils,6,87,4,6,4,23,4,4,0,3
